id,system,equipment,name,place,product,module,channel,crate,check,cat,property,fb,inversion,ton,tof,comment,modbus,node
V_3zpe2_2_opened,RSU_12,3zpe2/2,3zpe2/2 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE2_2_OPEN,,
V_3zpe2_2_closed,RSU_12,3zpe2/2,3zpe2/2 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE2_2_CLOSE,,
V_3zpe2_3_opened,RSU_12,3zpe2/3,3zpe2/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE2_3_OPEN,,
V_3zpe2_3_closed,RSU_12,3zpe2/3,3zpe2/3 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE2_3_CLOSE,,
V_3zpe3_1_opened,RSU_12,3zpe3/1,3zpe3/1 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE3_1_OPEN,,
V_3zpe3_1_closed,RSU_12,3zpe3/1,3zpe3/1 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE3_1_CLOSE,,
V_3zpe3_2_opened,RSU_12,3zpe3/2,3zpe3/2 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE3_2_OPEN,,
V_3zpe3_2_closed,RSU_12,3zpe3/2,3zpe3/2 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE3_2_CLOSE,,
V_3zpe3_3_opened,RSU_12,3zpe3/3,3zpe3/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE3_3_OPEN,,
V_3zpe3_3_closed,RSU_12,3zpe3/3,3zpe3/3 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE3_3_CLOSE,,
V_3zpe4_3_opened,RSU_12,3zpe4/3,3zpe4/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE4_3_OPEN,,
V_3zpe4_3_closed,RSU_12,3zpe4/3,3zpe4/3 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE4_3_CLOSE,,
V_3zpe5_3_opened,RSU_12,3zpe5/3,3zpe5/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE5_3_OPEN,,
V_3zpe5_3_closed,RSU_12,3zpe5/3,3zpe5/3 closed,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_DI_FN_KE5_3_CLOSE,,
V_4zpe1_1_opened,RSU_12,4zpe1/1,4zpe1/1 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE1_1_OPEN,,
V_4zpe1_2_opened,RSU_12,4zpe1/2,4zpe1/2 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE1_2_OPEN,,
V_4zpe1_3_opened,RSU_12,4zpe1/3,4zpe1/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE1_3_OPEN,,
V_4zpe2_1_opened,RSU_12,4zpe2/1,4zpe2/1 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE2_1_OPEN,,
V_4zpe2_2_opened,RSU_12,4zpe2/2,4zpe2/2 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE2_2_OPEN,,
V_4zpe2_3_opened,RSU_12,4zpe2/3,4zpe2/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE2_3_OPEN,,
V_4zpe3_1_opened,RSU_12,4zpe3/1,4zpe3/1 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE3_1_OPEN,,
V_4zpe3_2_opened,RSU_12,4zpe3/2,4zpe3/2 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE3_2_OPEN,,
V_4zpe3_3_opened,RSU_12,4zpe3/3,4zpe3/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE3_3_OPEN,,
V_4zpe4_2_opened,RSU_12,4zpe4/2,4zpe4/2 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE4_2_OPEN,,
V_4zpe4_3_opened,RSU_12,4zpe4/3,4zpe4/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE4_3_OPEN,,
V_4zpe5_2_opened,RSU_12,4zpe5/2,4zpe5/2 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE5_2_OPEN,,
V_4zpe5_3_opened,RSU_12,4zpe5/3,4zpe5/3 opened,,,,,,,,,,,,,SR_23G12_1_MECHANICAL_FILTRATION_UNIT.LCU5_FN_KE5_3_OPEN,,
